time,latitude,longitude,depth,temperature,salinity,oxy_conc,oxy_temperature,oxy_percentsat,oxy_conc_umkg
2022-07-09 17:00:00,56.866,-164.04983333333334,6.0,9.8115,32.1665,294.7201940802263,9.9391928,104.73271479219315,287.5960908638728
2022-07-09 18:00:00,56.866,-164.04983333333334,6.0,9.8527,32.1617,294.6992073609248,9.9465171,104.81546242396253,287.57855177474994
2022-07-09 19:00:00,56.866,-164.04983333333334,6.0,9.7895,32.1612,295.3063065653319,9.8940261,104.88681031546736,288.1681902498397
2022-07-09 20:00:00,56.866,-164.04983333333334,6.0,9.7985,32.1655,295.6504940423946,9.8964675,105.0328593828978,288.50352604167693
2022-07-09 21:00:00,56.866,-164.04983333333334,6.0,9.7966,32.1663,296.15515299797795,9.892195,105.20840170634627,288.99572206462733
2022-07-09 22:00:00,56.866,-164.04983333333334,6.0,9.8981,32.1691,295.75109106679776,10.012436,105.29893907984452,288.6054878035702
2022-07-09 23:00:00,56.866,-164.04983333333334,6.0,9.9045,32.1577,296.05415959664344,10.027085,105.41286391276299,288.9040380378237
2022-07-10 00:00:00,56.866,-164.04983333333334,6.0,9.9558,32.1551,295.9742506134012,10.046006,105.49979802219089,288.8290077477666
2022-07-10 01:00:00,56.866,-164.04983333333334,6.0,10.0105,32.1579,295.76636326964336,10.100938,105.55287939509783,288.628065151962
2022-07-10 02:00:00,56.866,-164.04983333333334,6.0,10.0058,32.1572,295.8450131971132,10.117418,105.56966834014526,288.70475195252294
2022-07-10 03:00:00,56.866,-164.04983333333334,6.0,10.0485,32.1636,295.564883274778,10.190661,105.57212476645685,288.4319658876796
2022-07-10 04:00:00,56.866,-164.04983333333334,6.0,10.1576,32.1558,295.4625291111344,10.223621,105.7789463112642,288.3388959651305
2022-07-10 05:00:00,56.866,-164.04983333333334,6.0,10.1608,32.1506,295.0460180504257,10.279164,105.63319954449766,287.93371638265614
2022-07-10 06:00:00,56.866,-164.04983333333334,6.0,10.1356,32.1573,295.0214173276336,10.279164,105.57195813804042,287.90706063550977
2022-07-10 07:00:00,56.866,-164.04983333333334,6.0,10.1953,32.1628,294.8404930446998,10.308461,105.64752360279263,287.73209219242676
2022-07-10 08:00:00,56.866,-164.04983333333334,6.0,10.1771,32.1631,294.66214181943826,10.292592,105.5423588137874,287.5571218910962
2022-07-10 09:00:00,56.866,-164.04983333333334,6.0,10.2045,32.161,294.3109684437664,10.302358,105.4773707832388,287.2161586598285
2022-07-10 10:00:00,56.866,-164.04983333333334,6.0,10.2113,32.1617,294.0342915088683,10.298695,105.39420896423391,286.9463171909554
2022-07-10 11:00:00,56.866,-164.04983333333334,6.0,10.2041,32.1628,293.6407855000393,10.305409,105.23763303840315,286.5617202985145
2022-07-10 12:00:00,56.866,-164.04983333333334,6.0,10.1945,32.1622,293.47817639858397,10.284657,105.15710908207379,286.4027134371979
2022-07-10 13:00:00,56.866,-164.04983333333334,6.0,10.1762,32.1629,293.3488125629514,10.271229,105.06975662556002,286.2754617751991
2022-07-10 14:00:00,56.866,-164.04983333333334,6.0,10.1475,32.1626,293.3457409000591,10.241321,105.00331014386776,286.2711919125308
2022-07-10 15:00:00,56.866,-164.04983333333334,6.0,10.1254,32.163,293.36437242773866,10.218738,104.96013576534511,286.2882585235339
2022-07-10 16:00:00,56.866,-164.04983333333334,6.0,10.1184,32.1616,293.35372645056356,10.2047,104.93939285834144,286.27784892055814
2022-07-10 17:00:00,56.866,-164.04983333333334,6.0,10.116,32.1622,293.3912606713277,10.208362,104.94782513120468,286.3142354904998
